Name,Reference,CII,errCII,ulCII,OI145,errOI145,ulOI145,N122,errN122,ulN122,OIII88,errOIII88,ulOIII88,OI63,errOI63,ulOI63,NIII57,errNIII57,ulNIII57,OIII53,errOIII53,ulOIII53,Dust Correction (see Cormier 2015),Metallicity,errMetallicity,refMetallicity,FreeFree,errFreeFree,ulFreeFree,Frequency,refFreeFree,AltFreeFree,errAltFreeFree,AltFrequency,refAltFreeFree,ulAltFreeFree,Distance,gff
,,10^-18 W m^-2,10^-18 W m^-2,,10^-18 W m^-2,10^-18 W m^-2,,10^-18 W m^-2,10^-18 W m^-2,,10^-18 W m^-2,10^-18 W m^-2,,10^-18 W m^-2,10^-18 W m^-2,,10^-18 W m^-2,10^-18 W m^-2,,10^-18 W m^-2,10^-18 W m^-2,,,12+log(O/H),12+log(O/H),ref,mJy,mJy,,GHz,ref,mJy,mJY,GHz,ref,,Mpc,
NGC 0278,Brauher et al. 2008,7280,120,0,210,0,1,460,60,0,1710,180,0,3470,160,0,1070,0,1,1190,330,0,1,9.16,0.03,Roberston 2013,63,8,0,4.85,Gregory & Condon 1991,,,,,-1,11.8,4.86
NGC 0520,Brauher et al. 2008,2830,70,,180,40,,470,170,,1560,210,0,1920,230,0,1680,0,,2080,0,,1,,,,,,,,,,,,,,,
NGC 0695,Brauher et al. 2008,2040,80,0,0,0,-1,150,30,0,790,60,0,1180,90,0,0,0,-1,0,0,-1,1,8.89,,"Kewley, jansen & geller 2005",41,10,0,5,Sramek 1975,,,,,-1,133,4.86
NGC 1068,Brauher et al. 2008,21540,170,0,680,80,0,3630,300,0,9920,310,0,17360,430,0,6070,440,0,13130,780,0,1,8.83,0.03,Pilyugin et al. 2004,1620,34,0,4.86,Sajina et al. 2011,317,16.46,31,Mason et al. 2009,0,12.65,4.86
NGC 1068,Brauher et al. 2008,21230,170,0,760,140,0,3540,290,0,9950,330,0,17180,290,0,5680,400,0,11680,520,0,1,8.83,0.03,Pilyugin et al. 2004,1620,34,0,4.86,Sajina et al. 2011,317,16.46,31,Mason et al. 2009,0,12.65,4.86
UGC 02238,Brauher et al. 2008,2350,90,0,70,10,0,130,40,0,690,90,0,760,210,0,0,0,,0,0,,1,,,,,,0,,,,,,,,,
NGC 1385,Brauher et al. 2008,5550,200,0,110,10,0,230,50,0,2430,120,0,2410,150,0,730,0,,0,0,,1,,,,,,0,,,,,,,,,
UGC 02855,Brauher et al. 2008,4730,90,0,290,40,0,430,90,0,910,240,0,2640,200,0,1780,0,,1950,0,,1,,,,,,0,,,,,,,,,
NGC 1482,Brauher et al. 2008,6390,170,0,230,0,1,430,60,0,1460,220,0,3350,160,0,820,230,0,1010,0,1,1,8.87,0.16,Moustakas 2010,125,12,0,4.85,Griffith et al. 1994,143,17.7,230.8,Chini et al. 1995,0,25,4.86
NGC 2146,Brauher et al. 2008,25370,320,0,990,140,0,1120,320,0,15770,650,0,18030,990,0,5510,590,,15140,2010,,1,,,,,,0,,,,,,,,,
NGC 2388,Brauher et al. 2008,1740,80,0,0,0,-1,360,70,0,380,60,0,1020,110,0,790,0,1,0,0,0,1,9.1,,Relano et al 2007,75.2,,1,1.425,"Condon, Cotton & Broderick 2001",,,,,-1,59.3,5.3
ESO 317-G023,Brauher et al. 2008,1240,120,0,60,20,0,290,70,0,320,60,0,620,80,0,680,0,,0,0,,1,,,,,,0,,,,,,,,,
NGC 3256,Brauher et al. 2008,12990,160,0,540,120,0,1230,250,0,6250,640,0,12920,410,0,0,0,-1,5940,1700,0,1,8.8,,,289,17,0,4.85,Gregory et al. 1994,,,,,-1,37.4,4.86
NGC 3690,Brauher et al. 2008,8220,120,0,360,40,0,420,90,0,8380,430,0,8320,270,0,1910,380,0,7480,880,0,1,8.8,,Relano et al 2007,407,41,0,4.85,Gregory & Condon 1991,89,2.6,32.5,Leroy et al. 2011,0,45.2,4.86
NGC 3885,Brauher et al. 2008,1500,50,0,0,0,0,220,40,0,410,100,0,1200,120,0,0,0,,0,0,,1,,,,,,0,,,,,,,,,
NGC 4490,Brauher et al. 2008,4320,110,0,160,0,1,230,70,0,5460,340,0,3290,160,0,2680,0,1,4410,500,0,1,8.29,0.08,"Pilyugin, Grebel, & Kniazev 2014",226,27,0,4.85,Gregory & Condon 1991,,,,,-1,7.767,4.86
NGC 5713,Brauher et al. 2008,5060,190,0,0,0,-1,450,100,0,1470,170,0,2880,110,0,360,80,0,1410,380,0,1,8.96,0.06,Moustakas 2010,81,11,0,4.85,Griffith et al. 1995,30.6,0.6,8.46,Schmitt et al. 2006,0,22,4.86
NGC 5713,Brauher et al. 2008,4680,130,0,250,60,0,290,80,0,1730,160,0,0,0,-1,0,0,-1,0,0,-1,1,8.96,0.06,Moustakas 2010,81,11,0,4.85,Griffith et al. 1995,30.6,0.6,8.46,Schmitt et al. 2006,0,22,4.86
NGC 6286,Brauher et al. 2008,1680,50,0,50,10,0,170,50,0,260,50,0,730,90,0,0,0,-1,0,0,-1,1,8.91,0.05,"Rupke, Veilleuz & baker 2008",53,8,0,4.85,Gregory & Condon 1991,12.2,1.5,22.5,Clemens et al. 2008,0,73.4,4.86
NGC 6753,Brauher et al. 2008,2520,130,0,0,0,0,540,50,0,310,80,0,910,100,0,0,0,,0,0,-1,1,,,,,,0,,,,,,,,,
NGC 7552,Brauher et al. 2008,6370,150,0,0,0,-1,760,100,0,2470,360,0,6300,230,0,0,0,-1,0,0,-1,1,8.35,0.03,Moustakas 2010,140,12,0,4.85,Gregory et al. 1994,66.9,1.1,8.46,Schmitt et al. 2006,0,18.6,4.86
NGC 7771,Brauher et al. 2008,2980,90,0,0,0,-1,470,100,0,500,100,0,1150,130,0,360,0,1,0,0,-1,1,8.8,,Relano et al 2007,60,9,0,4.85,Gregory & Condon 1991,,,,,-1,48.78,4.86
Mrk 331,Brauher et al. 2008,1480,80,0,130,0,1,230,60,0,380,100,0,1050,60,0,0,0,-1,0,0,-1,1,8.97,0.1,"Rupke, Veilleuz & baker 2008",28,6,0,4.85,Gregory & Condon 1991,9.95,0.29,22.5,Clemens et al. 2008,0,72,4.86
Haro11,Cormier et al. 2015,655,6.89,0,50,3.53,0,35.1,2.75,0,1715,27.2,0,644,12.2,0,283,8.16,0,,,-1,1,8.35,0.01,1,10.1,0.2,0,8.46,Schmitt et al. 2006,,,,,-1,82.3,4.5
Haro3,Cormier et al. 2015,1031,7.95,0,48.2,4.53,0,21.4,3.87,0,1846,36.5,0,590,27.1,0,123,16.8,0,,,-1,1,8.28,0.01,3,15.5,,1,1.4,"Condon, Cotton & Broderick 2001",,,,,-1,19.3,5.3
IIZw40,Cormier et al. 2015,849,10.5,0,40.8,4.78,0,26.52,,1,3589,41.3,0,631,26.2,0,,,-1,,,-1,1,8.23,0.01,11,20,,1,8.288,"Roy, Goss & Anantharamaiah 2008",43,13,230.8,Galliano et al. 2005,0,10.3,4.5
Mrk1089,Cormier et al. 2015,859,7.94,0,27.6,5,0,35.1,6.04,0,938,32.9,0,407,32.5,0,,,-1,,,-1,0.15,8.3,0.08,13,23,4,0,4.755,Bicay et al. 1995,67.4,10.1,0.87,Galametz et al. 2009,0,55.5,4.86
Mrk1450,Cormier et al. 2015,60.5,4.28,0,,,-1,2.56,0.65,0,262,8.81,0,35.5,2.77,0,,,-1,,,-1,1,7.84,0.01,14,2,,1,1.4,Wu et al. 2008,,,,,-1,15,5.5
Mrk930,Cormier et al. 2015,218,5.78,0,9.07,0.99,0,8.31,,1,421,20,0,142,12.1,0,,,-1,,,-1,0.15,8.03,0.01,17,10,4,0,4.755,Bicay et al. 1995,3.66,0.05,8.4,Rosa-Gonzalez et al. 2009,0,71,4.86
NGC1140,Cormier et al. 2015,1187,15.6,0,35.4,3.08,0,20.9,3.2,0,1079,26.6,0,427,19.9,0,,,-1,,,-1,0.2,8.38,0.01,3,23,6,0,4.755,Bicay et al. 1995,21.3,,1.412,Hunter et al. 1994,0,18.2,4.86
NGC4214,Cormier et al. 2015,5417,27.1,0,144.8,6.33,0,78.9,12,0,4850,74.7,0,1950,46.5,0,,,-1,,,-1,0.35,8.26,0.01,4,34,6.8,0,4.86,Kepley et al. 2011,24.2,4.8,8.46,Kepley et al. 2011,0,3.3,4.86
NGC5253,Cormier et al. 2015,4509,14.6,0,206,3.99,0,92.5,12.1,0,9007,44,0,2930,50.7,0,,,-1,,,-1,1,8.25,0.02,4,90,12,0,4.85,Wright et al. 1996,,,,,-1,3.64,4.86
UM311,Cormier et al. 2015,499,7.55,0,,,-1,11.31,,1,508,27.3,0,262,19.7,0,,,-1,,,-1,0.6,8.38,0.01,"17,30,31",,,-1,,,32.2,7,0.87,Galametz et al. 2009,0,18.7,0
UM448,Cormier et al. 2015,800,18.6,0,43.4,2.6,0,12.2,2.14,0,1062,20.1,0,589,27.2,0,,,-1,,,-1,1,8.32,0.01,"17,30,31",26,6,0,4.755,Bicay et al. 1995,32.6,0,1.4,"Condon, Cotton & Broderick 2001",0,82.5,4.86
UM461,Cormier et al. 2015,21.8,2.57,0,,,-1,2.04,,1,79,5.91,0,22.7,4.97,0,,,-1,,,-1,1,7.73,0.01,15,2.6,,1,1.4,Wu et al. 2008,,,,,-1,19.3,5.3
VIIZw403,Cormier et al. 2015,157,5.03,0,7.36,1.62,0,5.88,,1,81.6,8.92,0,42.7,8.82,0,,,-1,,,-1,1,7.66,0.01,16,1.2,,1,1.4,Wu et al. 2008,,,,,-1,4.4,5.3
